성별,나이,월수입,직업,결혼여부,소비성향,가격,가격등급,카테고리,브랜드,상품조회수,비교상품수,구매시간대,카드할부여부,재방문횟수,구매후회값
male,19,460000,학생,미혼,진보적,11000,초저가,식품,풀무원,8,2,14,N,4,0.086
male,23,620000,취업준비생,미혼,보수적,911000,고가,여행,마이리얼트립,41,11,0,Y,11,0.607
male,26,2650000,사무직,미혼,진보적,1319000,고가,전자기기,레노버,23,6,17,Y,8,0.435
female,31,4900000,전문직,미혼,보수적,77000,저가,생활용품,유한킴벌리,18,5,19,N,1,0.123
female,29,2740000,공무원,기혼,진보적,650000,고가,교육,클래스101,23,4,0,Y,5,0.337
female,35,2380000,자영업,기혼,진보적,585000,고가,명품,프라다,17,4,23,N,7,0.359
male,30,1850000,프리랜서,미혼,보수적,70000,저가,화장품,설화수,24,5,12,N,2,0.084
male,33,3940000,대기업직원,기혼,진보적,6000,초저가,식품,오뚜기,2,0,18,N,2,0.185
male,38,810000,주부,기혼,진보적,511000,고가,여행,아시아나,31,7,16,Y,5,0.567
female,67,1230000,은퇴자,미혼,진보적,1099000,고가,전자기기,삼성,37,6,15,Y,9,0.52
female,29,870000,학생,미혼,진보적,481000,고가,패션,나이키,32,4,23,Y,5,0.596
female,33,860000,취업준비생,미혼,보수적,140000,중저가,건강관리,락토핏,23,5,22,N,4,0.23
male,36,2950000,사무직,기혼,진보적,611000,고가,명품,버버리,29,3,12,Y,6,0.315
male,41,6980000,전문직,기혼,보수적,51000,저가,화장품,설화수,21,5,16,N,1,0.131
male,39,3860000,공무원,기혼,보수적,60000,저가,식품,CJ,12,3,13,N,4,0.087
female,45,3340000,자영업,기혼,진보적,1044000,고가,교육,시원스쿨,36,6,23,Y,5,0.351
female,40,2770000,프리랜서,기혼,진보적,2049000,초고가,가구,리바트,39,8,11,Y,8,0.56
female,43,5660000,대기업직원,기혼,진보적,531000,고가,패션,ZARA,26,4,17,N,3,0.165
male,48,1330000,주부,기혼,보수적,161000,중저가,건강관리,센트룸,20,6,13,N,4,0.102
male,59,1800000,은퇴자,미혼,보수적,1890000,초고가,명품,구찌,36,10,11,Y,10,0.516
male,28,1160000,학생,미혼,보수적,915000,고가,전자기기,애플,40,8,13,Y,8,0.56
female,31,1220000,취업준비생,미혼,보수적,129000,중저가,생활용품,락앤락,16,4,22,N,2,0.216
female,46,3910000,사무직,기혼,진보적,1000000,고가,교육,메가스터디,28,3,19,Y,4,0.31
female,51,10430000,전문직,미혼,진보적,1863000,초고가,가구,리바트,28,6,22,Y,8,0.288
male,49,4850000,공무원,기혼,진보적,193000,중저가,패션,무신사스탠다드,26,3,21,Y,2,0.162
male,55,4780000,자영업,미혼,보수적,4000,초저가,식품,동원,9,4,20,N,0,0.146
male,50,4020000,프리랜서,미혼,보수적,409000,고가,여행,하나투어,30,8,12,N,4,0.143
female,53,6930000,대기업직원,기혼,보수적,520000,고가,전자기기,LG,34,5,15,Y,3,0.176
female,58,2360000,주부,기혼,보수적,111000,중저가,생활용품,깨끗한나라,18,3,13,N,3,0.077
female,69,2620000,은퇴자,미혼,보수적,733000,고가,교육,클래스101,35,6,16,N,3,0.244
male,27,1540000,학생,미혼,진보적,3964000,초고가,명품,샤넬,36,17,16,Y,15,0.55
male,29,1640000,취업준비생,기혼,보수적,40000,저가,화장품,라네즈,28,3,14,N,1,0.151
male,24,5070000,사무직,미혼,진보적,78000,저가,식품,노브랜드,7,4,23,N,0,0.225
female,28,12100000,전문직,미혼,진보적,1062000,고가,여행,하나투어,18,3,2,N,4,0.242
female,59,6140000,공무원,기혼,진보적,7939000,초고가,전자기기,삼성,34,11,16,Y,11,0.435
female,65,8710000,자영업,기혼,보수적,7523000,초고가,패션,아디다스,36,11,22,Y,7,0.619
male,28,6590000,프리랜서,기혼,진보적,3773000,초고가,건강관리,종근당,32,6,22,Y,4,0.595
male,31,9800000,대기업직원,미혼,진보적,571000,고가,명품,루이비통,27,5,21,N,3,0.17
male,36,3380000,주부,기혼,보수적,109000,중저가,화장품,올리브영PB,28,6,0,N,3,0.127
female,61,3500000,은퇴자,기혼,보수적,76000,저가,식품,CJ,12,4,9,N,3,0.086
female,26,530000,학생,미혼,보수적,369000,고가,교육,윌라,39,10,20,Y,6,0.521
female,27,650000,취업준비생,기혼,진보적,2887000,초고가,가구,일룸,25,22,14,Y,25,0.529
male,34,6040000,사무직,미혼,진보적,40000,저가,패션,COS,20,2,9,N,1,0.172
male,38,18660000,전문직,기혼,진보적,98000,중저가,건강관리,종근당,14,4,11,N,1,0.146
male,33,7590000,공무원,기혼,진보적,824000,고가,명품,구찌,19,4,16,N,5,0.219
female,39,11770000,자영업,기혼,진보적,3980000,초고가,전자기기,소니,35,5,3,Y,7,0.414
female,38,8390000,프리랜서,기혼,진보적,115000,중저가,생활용품,유한킴벌리,22,4,14,N,1,0.112
female,41,12000000,대기업직원,기혼,보수적,403000,고가,교육,패스트캠퍼스,20,5,9,N,4,0.109
male,46,4920000,주부,미혼,진보적,142000,중저가,가구,한샘,19,4,15,Y,4,0.133
male,71,5320000,은퇴자,미혼,보수적,56000,저가,패션,무신사스탠다드,23,3,10,N,0,0.183
male,25,800000,학생,미혼,진보적,62000,저가,식품,풀무원,18,2,17,N,1,0.171
female,25,930000,취업준비생,미혼,진보적,897000,고가,여행,마이리얼트립,24,8,17,Y,9,0.56
female,44,2710000,사무직,기혼,진보적,22000,초저가,전자기기,레노버,18,2,10,Y,3,0.182
female,48,5280000,전문직,기혼,보수적,171000,중저가,생활용품,유한킴벌리,19,4,16,N,2,0.089
male,43,3060000,공무원,미혼,보수적,67000,저가,교육,클래스101,12,6,21,N,2,0.093
male,49,2050000,자영업,기혼,보수적,3564000,초고가,명품,프라다,35,16,12,Y,11,0.559
male,48,1940000,프리랜서,기혼,진보적,124000,중저가,화장품,설화수,23,1,20,N,1,0.246
female,51,4160000,대기업직원,기혼,보수적,37000,저가,식품,오뚜기,21,4,21,N,1,0.097
female,56,750000,주부,기혼,보수적,3417000,초고가,여행,아시아나,44,25,12,Y,24,0.484
