성별,나이,월수입,직업,결혼여부,소비성향,예산,구매단가,사용목적,중요요소,선호브랜드,상품명,브랜드,카테고리,판매단가,평점,리뷰수,상품설명,상품정보출처,상품조회수,비교상품수,구매시간대,재방문횟수,카드할부여부,구매후회값
female,26,1040000,취업준비생,미혼,진보적,166000,658000,업무,"희소성, 감성",삼성,삼성 전자기기 1,삼성,전자기기,658000,3.35,31.0,"삼성 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",crawler,33,12,14,9,Y,0.644
male,44,6110000,대기업직원,기혼,진보적,1143000,159000,인테리어,"내구성, 크기",이케아,이케아 가구 2,이케아,가구,159000,4.29,,"이케아 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",crawler,4,5,10,2,N,0.293
female,27,1240000,취업준비생,미혼,진보적,209000,46000,여행,"희소성, 감성",아디다스,아디다스 패션 3,아디다스,패션,46000,,,"아디다스 패션 상품. 주요 특징: 디자인, 착용감, 브랜드, 출근, 데이트, 여행.",manual,6,4,19,4,N,0.614
male,55,7110000,자영업,기혼,보수적,914000,3998000,게임,"희소성, 감성",하나투어,소니 전자기기 4,소니,전자기기,3998000,3.96,1187.0,"소니 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",crawler,38,7,21,5,Y,0.64
female,39,3690000,프리랜서,기혼,보수적,805000,1178000,보상,"브랜드, 희소성",CJ,구찌 명품 5,구찌,명품,1178000,4.23,14.0,"구찌 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",naver_api,21,7,22,6,Y,0.508
female,37,6490000,대기업직원,미혼,보수적,902000,25000,유행,"희소성, 감성",이니스프리,이니스프리 화장품 6,이니스프리,화장품,25000,4.35,,"이니스프리 화장품 상품. 주요 특징: 성분, 가격, 후기, 피부관리, 선물, 데일리.",crawler,9,2,9,4,N,0.632
female,44,1910000,주부,미혼,보수적,340000,16000,가족,"가격, 신선도",샤넬,오뚜기 식품 7,오뚜기,식품,16000,3.33,581.0,"오뚜기 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",crawler,35,4,13,2,N,0.504
male,65,2390000,은퇴자,기혼,진보적,408000,660000,휴식,"희소성, 감성",LG,COS 패션 8,COS,패션,660000,3.68,,"COS 패션 상품. 주요 특징: 디자인, 착용감, 브랜드, 출근, 데이트, 여행.",manual,15,4,20,4,Y,0.826
male,28,6190000,공무원,미혼,진보적,401000,2313000,회복,"성분, 후기",종근당,종근당 건강관리 9,종근당,건강관리,2313000,4.05,451.0,"종근당 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",image_estimate,33,4,18,3,Y,0.686
female,47,3070000,주부,기혼,진보적,108000,962000,소장,"내구성, 크기",한샘,리바트 가구 10,리바트,가구,962000,4.83,956.0,"리바트 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",image_estimate,35,6,16,5,Y,0.767
