성별,나이,월수입,직업,결혼여부,소비성향,가격,가격등급,카테고리,브랜드,상품조회수,비교상품수,구매시간대,카드할부여부,재방문횟수,예산초과율,예산사용율,사용목적적합도,중요요소일치도,브랜드선호일치도,대체상품우위위험,가격신뢰위험,리뷰부정위험,상품신뢰도,데이터신뢰도,구매필요성점수,예산,사용목적,중요요소,선호브랜드,상품명,상품설명,현재가,최저가,대체상품최저가,평점,리뷰수,리뷰부정키워드수,상품정보출처,평점수집여부,리뷰수집여부,구매후회값,실제구매후회값
female,26,1040000.0,취업준비생,미혼,진보적,658000.0,고가,전자기기,삼성,33,12,14,Y,9,1.0,3.0,1.0,0.0,1.0,0.06838905775075987,0.3881856540084388,0.2,0.49416101882701513,1.0,0.87,166000,업무,"희소성, 감성",삼성,삼성 전자기기 1,"삼성 전자기기 ??. ?? ??: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",658000,474000,613000,3.35,31.0,1,crawler,Y,Y,0.644,0.644
male,44,6110000.0,대기업직원,기혼,진보적,159000.0,중저가,가구,이케아,4,5,10,N,2,0.0,0.13910761154855644,1.0,0.6666666666666666,1.0,0.2389937106918239,0.16911764705882354,0.2,0.48625,1.0,0.87,1143000,인테리어,"내구성, 크기",이케아,이케아 가구 2,"이케아 가구 ??. ?? ??: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",159000,136000,121000,4.29,,4,crawler,Y,N,0.293,0.293
female,27,1240000.0,취업준비생,미혼,진보적,46000.0,저가,패션,아디다스,6,4,19,N,4,0.0,0.22009569377990432,0.0,0.0,1.0,0.15217391304347827,0.24324324324324326,0.2,0.1875,0.75,0.09999999999999998,209000,여행,"희소성, 감성",아디다스,아디다스 패션 3,"아디다스 패션 ??. ?? ??: 디자인, 착용감, 브랜드, 출근, 데이트, 여행.",46000,37000,39000,,,3,manual,N,N,0.614,0.614
male,55,7110000.0,자영업,기혼,보수적,3998000.0,초고가,전자기기,소니,38,7,21,Y,5,1.0,3.0,1.0,0.0,0.0,0.04677338669334667,0.020679091141179475,0.2,0.6950000000000001,1.0,0.87,914000,게임,"희소성, 감성",하나투어,소니 전자기기 4,"소니 전자기기 ??. ?? ??: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",3998000,3917000,3811000,3.96,1187.0,2,crawler,Y,Y,0.64,0.64
female,39,3690000.0,프리랜서,기혼,보수적,1178000.0,고가,명품,구찌,21,7,22,Y,6,0.4633540372670808,1.4633540372670808,1.0,0.6666666666666666,0.0,0.24872665534804753,0.3295711060948081,0.2,0.5767434260081896,1.0,0.52,805000,보상,"브랜드, 희소성",CJ,구찌 명품 5,"구찌 명품 ??. ?? ??: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",1178000,886000,885000,4.23,14.0,2,naver_api,Y,Y,0.508,0.508
female,37,6490000.0,대기업직원,미혼,보수적,25000.0,초저가,화장품,이니스프리,9,2,9,N,4,0.0,0.02771618625277162,0.0,0.0,1.0,0.32,0.19047619047619047,0.2,0.49374999999999997,1.0,0.019999999999999976,902000,유행,"희소성, 감성",이니스프리,이니스프리 화장품 6,"이니스프리 화장품 ??. ?? ??: 성분, 가격, 후기, 피부관리, 선물, 데일리.",25000,21000,17000,4.35,,2,crawler,Y,N,0.632,0.632
female,44,1910000.0,주부,미혼,보수적,16000.0,초저가,식품,오뚜기,35,4,13,N,2,0.0,0.047058823529411764,0.0,0.9,0.0,0.3125,0.14285714285714285,0.0,0.5966269149106516,1.0,0.57,340000,가족,"가격, 신선도",샤넬,오뚜기 식품 7,"오뚜기 식품 ??. ?? ??: 가격, 신선도, 배송, 생활, 식사, 가족.",16000,14000,11000,3.33,581.0,0,crawler,Y,Y,0.504,0.504
male,65,2390000.0,은퇴자,기혼,진보적,660000.0,고가,패션,COS,15,4,20,Y,4,0.6176470588235294,1.6176470588235294,0.0,0.0,0.0,0.2878787878787879,0.029641185647425898,0.2,0.41000000000000003,1.0,0.09999999999999998,408000,휴식,"희소성, 감성",LG,COS 패션 8,"COS 패션 ??. ?? ??: 디자인, 착용감, 브랜드, 출근, 데이트, 여행.",660000,641000,470000,3.68,,3,manual,Y,N,0.826,0.826
male,28,6190000.0,공무원,미혼,진보적,2313000.0,초고가,건강관리,종근당,33,4,18,Y,3,1.0,3.0,0.0,0.6666666666666666,1.0,0.21616947686986598,0.18554587391081498,0.2,0.6774795259826187,1.0,0.44999999999999996,401000,회복,"성분, 후기",종근당,종근당 건강관리 9,"종근당 건강관리 ??. ?? ??: 성분, 후기, 안전성, 건강, 부모님, 회복.",2313000,1951000,1813000,4.05,451.0,4,image_estimate,Y,Y,0.686,0.686
female,47,3070000.0,주부,기혼,진보적,962000.0,고가,가구,리바트,35,6,16,Y,5,1.0,3.0,0.0,0.6666666666666666,0.0,0.24220374220374222,0.21926489226869456,0.2,0.8021233903829945,1.0,0.37,108000,소장,"내구성, 크기",한샘,리바트 가구 10,"리바트 가구 ??. ?? ??: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",962000,789000,729000,4.83,956.0,2,image_estimate,Y,Y,0.767,0.767
female,48,3760000.0,프리랜서,기혼,진보적,88000.0,저가,가구,한샘,8,4,15,N,2,0.0,0.13924050632911392,1.0,0.6666666666666666,0.0,0.3409090909090909,0.07317073170731707,0.0,0.35375,1.0,0.87,632000,인테리어,"내구성, 크기",소니,한샘 가구 11,"한샘 가구 ??. ?? ??: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",88000,82000,58000,3.23,,0,naver_api,Y,N,0.391,0.391
female,37,2340000.0,주부,기혼,진보적,28000.0,초저가,식품,동원,5,4,12,N,3,0.0,0.16374269005847952,1.0,0.9,1.0,0.0,0.21739130434782608,0.2,0.52,1.0,1.0,171000,생활,"가격, 신선도",동원,동원 식품 12,"동원 식품 ??. ?? ??: 가격, 신선도, 배송, 생활, 식사, 가족.",28000,23000,28000,4.56,,1,image_estimate,Y,N,0.204,0.204
male,20,630000.0,학생,미혼,보수적,696000.0,고가,명품,루이비통,16,13,2,Y,11,1.0,3.0,0.0,0.6666666666666666,0.0,0.3390804597701149,0.16778523489932887,0.2,0.1875,0.75,0.019999999999999976,84000,유행,"브랜드, 희소성",애플,루이비통 명품 13,"루이비통 명품 ??. ?? ??: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",696000,596000,460000,,,4,image_estimate,N,N,0.866,0.866
male,53,5600000.0,사무직,기혼,보수적,277000.0,중저가,화장품,라네즈,45,0,17,N,2,0.0,0.30306345733041573,1.0,0.0,0.0,0.2490974729241877,0.35121951219512193,0.2,0.7949999999999999,1.0,0.52,914000,선물,"희소성, 감성",리바트,라네즈 화장품 14,"라네즈 화장품 ??. ?? ??: 성분, 가격, 후기, 피부관리, 선물, 데일리.",277000,205000,208000,4.76,3609.0,1,image_estimate,Y,Y,0.499,0.499
male,49,9200000.0,대기업직원,미혼,보수적,12000.0,초저가,생활용품,유한킴벌리,41,1,3,N,4,0.0,0.015286624203821656,0.0,0.0,0.0,0.25,0.2,0.2,0.76125,1.0,0.57,785000,선물,"희소성, 감성",COS,유한킴벌리 생활용품 15,"유한킴벌리 생활용품 ??. ?? ??: 가격, 내구성, 용량, 생활, 청소, 가정.",12000,10000,9000,4.49,2841.0,2,crawler,Y,Y,0.654,0.654
female,40,6580000.0,대기업직원,기혼,보수적,90000.0,저가,교육,메가스터디,50,1,10,N,3,0.0,0.075,1.0,0.9,1.0,0.0,0.046511627906976744,0.0,0.7875000000000001,1.0,1.0,1200000,취업,"강의품질, 가격",메가스터디,메가스터디 교육 16,"메가스터디 교육 ??. ?? ??: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",90000,86000,91000,4.7,2208.0,0,manual,Y,Y,0.194,0.194
male,48,9080000.0,대기업직원,미혼,보수적,1654000.0,고가,여행,마이리얼트립,33,6,12,Y,3,0.0,0.8788522848034006,1.0,0.9,1.0,0.11185006045949214,0.029887920298879204,0.0,0.6250194856453829,1.0,0.6,1882000,가족,"가격, 일정",마이리얼트립,마이리얼트립 여행 17,"마이리얼트립 여행 ??. ?? ??: 가격, 일정, 숙소, 휴식, 가족, 기념일.",1654000,1606000,1469000,,708.0,0,manual,N,Y,0.232,0.232
female,60,8490000.0,전문직,미혼,진보적,1745000.0,고가,건강관리,정관장,51,7,18,Y,3,0.4713322091062395,1.4713322091062395,0.0,0.0,1.0,0.27392550143266475,0.0811648079306072,0.2,0.62625,1.0,0.44999999999999996,1186000,유행,"희소성, 감성",정관장,정관장 건강관리 18,"정관장 건강관리 ??. ?? ??: 성분, 후기, 안전성, 건강, 부모님, 회복.",1745000,1614000,1267000,3.41,3638.0,2,image_estimate,Y,Y,0.665,0.665
male,26,3890000.0,프리랜서,미혼,진보적,121000.0,중저가,생활용품,3M,2,6,14,N,4,0.0,0.5931372549019608,1.0,0.0,1.0,0.0,0.05217391304347826,0.2,0.1875,0.75,1.0,204000,청소,"희소성, 감성",3M,3M 생활용품 19,"3M 생활용품 ??. ?? ??: 가격, 내구성, 용량, 생활, 청소, 가정.",121000,115000,129000,,,4,naver_api,N,N,0.365,0.365
female,37,10300000.0,전문직,미혼,진보적,32000.0,저가,생활용품,유한킴벌리,44,5,11,N,2,0.0,0.01574028529267093,0.0,0.0,1.0,0.125,0.03225806451612903,0.2,0.60875,1.0,0.57,2033000,휴식,"희소성, 감성",유한킴벌리,유한킴벌리 생활용품 20,"유한킴벌리 생활용품 ??. ?? ??: 가격, 내구성, 용량, 생활, 청소, 가정.",32000,31000,28000,3.27,2429.0,4,manual,Y,Y,0.53,0.53
